File,Start Line,End Line,Api,Type,Tips
pyabsa\core\apc\classic\__bert__\models\ram_bert.py,50,50,torch.nn.GRUCell,UNSUPPORTED,"""torch.nn.GRUCell"" is not supported."
pyabsa\core\apc\classic\__glove__\models\ram.py,50,50,torch.nn.GRUCell,UNSUPPORTED,"""torch.nn.GRUCell"" is not supported."
